product_id,name,price,price_value,image,seller,link,grade,fast_delivery
61940508,"루미나D 맥심 커피믹스 100t 화이트골드
도매꾹판매가 41,800원 (1개 이상 구매) 바로가기","41,800원",41800,https://cdn1.domeggook.com/upload/item/2025/11/13/17630049783D41F0D25AD12975420E53/17630049783D41F0D25AD12975420E53_img_330?hash=a06c3be27b9d3d3ae0375731e0fc6ff0,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61940508,6,True
61940435,"루미나D 맥심 모카골드 마일드 커피믹스 100t
도매꾹판매가 42,800원 (1개 이상 구매) 바로가기","42,800원",42800,https://cdn1.domeggook.com/upload/item/2025/11/13/17630049439A8498AD28D3BBDE9A28C9/17630049439A8498AD28D3BBDE9A28C9_img_330?hash=f49dd1d1f30d395c89002bfaafffdff0,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61940435,6,True
61939531,"루미나D 맥심 모카골드 마일드 커피믹스 100t 1박스
도매꾹판매가 49,900원 (1개 이상 구매) 바로가기","49,900원",49900,https://cdn1.domeggook.com/upload/item/2025/11/13/1763004484F2A0C95299C9344B266E5B/1763004484F2A0C95299C9344B266E5B_img_330?hash=6a5f4a6bca44ddd1b86908995f996e00,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61939531,5,True
61939527,"루미나D 맥심 모카골드 200t 100t입x2박스 블랙커피
도매꾹판매가 78,100원 (1개 이상 구매) 바로가기","78,100원",78100,https://cdn1.domeggook.com/upload/item/2025/11/13/17630044825AD2E8BE6537D29A6E63E1/17630044825AD2E8BE6537D29A6E63E1_img_330?hash=a36e5a305b875fe431c121bae317e8bc,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61939527,5,True
61936295,"맥심(커피믹스) 오리지날 100T
도매꾹판매가 27,000원 (1개 이상 구매) 바로가기","27,000원",27000,https://cdn1.domeggook.com/upload/item/2025/11/13/17629961684A3C5242E59D7E7541A6F1/17629961684A3C5242E59D7E7541A6F1_img_330?hash=f4d11dcc96aee82e17586e6fc9c72c65,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61936295,2,True
61922331,"루미나D 콘푸레이크 현미 천마차 100t 50tx2개
도매꾹판매가 48,400원 (1개 이상 구매) 바로가기","48,400원",48400,https://cdn1.domeggook.com/upload/item/2025/11/12/1762920108A3AE61C30FD8BDF43A17DC/1762920108A3AE61C30FD8BDF43A17DC_img_330?hash=402d9b4e9923858971935e65cb67692b,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61922331,5,True
61922269,"루미나D 네스카페 수프리모 아메리카노 100t 커피
도매꾹판매가 41,800원 (1개 이상 구매) 바로가기","41,800원",41800,https://cdn1.domeggook.com/upload/item/2025/11/12/176292007765091E8166E92A0B1FC56A/176292007765091E8166E92A0B1FC56A_img_330?hash=e0093f76a6b7c7802e47e9f4b44462a6,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61922269,5,True
61922268,"루미나D 맥심 모카골드 부드러운 100t 커피 블랙
도매꾹판매가 40,800원 (1개 이상 구매) 바로가기","40,800원",40800,https://cdn1.domeggook.com/upload/item/2025/11/12/1762920077EAEA0C7E1F8AE36E7FB399/1762920077EAEA0C7E1F8AE36E7FB399_img_330?hash=2f83db0a323732b3f54f7c6abc8de785,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61922268,5,True
61906130,"루미나D 맥심 모카골드 200t 100tx2박스 블랙커피
도매꾹판매가 70,900원 (1개 이상 구매) 바로가기","70,900원",70900,https://cdn1.domeggook.com/upload/item/2025/11/11/1762851799AFBD1192B29DE2FFA5058C/1762851799AFBD1192B29DE2FFA5058C_img_330?hash=16d683c2048a44be51be7a5e687944d0,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61906130,5,True
61905558,"루미나D 카누 콜롬비아원두 다크 미니 아메리카노 100t 1개
도매꾹판매가 89,500원 (1개 이상 구매) 바로가기","89,500원",89500,https://cdn1.domeggook.com/upload/item/2025/11/11/17628515072B6FB2483F99EC0C9E385E/17628515072B6FB2483F99EC0C9E385E_img_330?hash=ca2a1f216148fd652adab5401769c495,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61905558,6,True
61905424,"루미나D 조지아 에스프레소 액상스틱커피 8ml 100t 50tx2개
도매꾹판매가 89,200원 (1개 이상 구매) 바로가기","89,200원",89200,https://cdn1.domeggook.com/upload/item/2025/11/11/1762851445F694CE2DD671D4FBF497B6/1762851445F694CE2DD671D4FBF497B6_img_330?hash=efa18fcbf37825c85356660fc46e60e5,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61905424,6,True
