product_id,name,price,price_value,image,seller,link,grade,fast_delivery
61943834,"USB 멀티허브 7포트 C타입x4 A타입x3
도매꾹판매가 16,200원 (1개 이상 구매) 바로가기","16,200원",16200,https://cdn1.domeggook.com/upload/item/2025/11/13/17630150699B4B5FA8FC0942065E55D6/17630150699B4B5FA8FC0942065E55D6_img_330?hash=f68b5ca4f86197c00613f3d51a3b8237,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61943834,4,True
61943752,"올인원 다용도 멀티허브 / 카드리더기 HDMI RJ45 유선랜 포트
도매꾹판매가 16,200원 (1개 이상 구매) 바로가기","16,200원",16200,https://cdn1.domeggook.com/upload/item/2025/11/13/1763014934DE321DDC422A87D5413A72/1763014934DE321DDC422A87D5413A72_img_330?hash=e7a7c5dc0b595fd471df738b1e51b6e1,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61943752,4,True
61942872,"1x2 인터넷 랜선 분배기 / 기가비트 스플리터 RJ45 Splitter
도매꾹판매가 18,000원 (1개 이상 구매) 바로가기","18,000원",18000,https://cdn1.domeggook.com/upload/item/2025/11/13/1763013829616A0ED3CD6658617AEBE6/1763013829616A0ED3CD6658617AEBE6_img_330?hash=f7a58b6fca4811359b1b3ed18e36ff0c,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61942872,4,True
61928301,"4K USB3.1 HDMI C타입 멀티허브 미러링 고화질 대형화면 100W 노트북 PC 스마트폰 컴퓨터 전송속도 5GBPS
도매꾹판매가 37,900원 (1개 이상 구매) 바로가기","35,300원",35300,https://cdn1.domeggook.com/upload/item/2025/11/12/17629367371F8ABC731A07C801388F45/17629367371F8ABC731A07C801388F45_img_330?hash=66cf30f1767379033441d7990d2adba6,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61928301,9,True
61927863,"EIKER 7in1 c타입 멀티허브 USB3.0 썬더볼트HDMI PD충전
도매꾹판매가 25,110원 (2개 이상 구매) 바로가기","27,620원",27620,https://cdn1.domeggook.com/upload/item/2025/11/12/1762935549F04A30628E373CF52BB279/1762935549F04A30628E373CF52BB279_img_330?hash=7c36a2a177d5d8fa19bc2aea86d1a800,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61927863,4,True
61891930,"IP TIME UH308 USB 8포트 허브
도매꾹판매가 48,500원 (1개 이상 구매) 바로가기","48,500원",48500,https://cdn1.domeggook.com/upload/item/2025/11/11/1762819423DDFDB87F21CE4BF8B57F0D/1762819423DDFDB87F21CE4BF8B57F0D_img_330?hash=331a0e6d21aa02f822ef0d6f175a0afd,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61891930,4,True
61867593,"USB 허브 3.0 (7포트 무전원) 개별스위치 60cm BT413
도매꾹판매가 45,500원 (1개 이상 구매) 바로가기","45,500원",45500,https://cdn1.domeggook.com/upload/item/2025/11/10/1762733534DF2AAF8CCFC01ACCCF60F8/1762733534DF2AAF8CCFC01ACCCF60F8_img_330?hash=9f6d46be536114ca8d0705414cd7f8ba,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61867593,4,True
61867584,"USB 3.0 허브 4포트 무전원 30cm BT367
도매꾹판매가 15,200원 (1개 이상 구매) 바로가기","15,200원",15200,https://cdn1.domeggook.com/upload/item/2025/11/10/1762733473A428255AB49E25263EC709/1762733473A428255AB49E25263EC709_img_330?hash=87b7f89224062af6825875cb6b20b74c,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61867584,4,True
61787171,"USB 3.0 멀티허브 6포트 Gen1 5Gbps RJ45 이더넷 랜카드 10 100Mbps 화면잠금 락스크린 버튼
도매꾹판매가 23,300원 (1개 이상 구매) 바로가기","23,300원",23300,https://cdn1.domeggook.com/upload/item/2025/11/04/1762256785D532A6038AAF061C4DCFF9/1762256785D532A6038AAF061C4DCFF9_img_330?hash=82bbed88e5331630425edbc875063ca1,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61787171,3,True
61787061,"C타입 멀티허브 5포트 Type C USB 3.2 Gen2 10Gbps RJ45 이더넷 랜카드
도매꾹판매가 34,000원 (1개 이상 구매) 바로가기","34,000원",34000,https://cdn1.domeggook.com/upload/item/2025/11/04/1762256661CA3752EC1BF3154DFF72B8/1762256661CA3752EC1BF3154DFF72B8_img_330?hash=dec5669238a332e9894b4e73e1c356bc,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61787061,3,True
61671758,"USB 허브 3.0 4P 전원
도매꾹판매가 40,200원 (1개 이상 구매) 바로가기","40,200원",40200,https://cdn1.domeggook.com/upload/item/2025/10/30/176178348601ADF8C1953B006121BBD9/176178348601ADF8C1953B006121BBD9_img_330?hash=c16e86fb3b3689745117f2095fe825ef,,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61671758,4,True
